"filename", "language", "Python", "Properties", "HTML", "Visual Basic", "JavaScript", "XSL", "C++", "C", "Markdown", "PostCSS", "reStructuredText", "JSON", "XML", "toml", "Ini", "Lua", "Batch", "PowerShell", "comment", "blank", "total"
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\seaborn\external\version.py", "Python", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 280, 54, 462
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\seaborn\matrix.py", "Python", 693, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 407, 163, 1263
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\seaborn\miscplot.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 7, 46
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\seaborn\objects.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 5, 50
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\seaborn\palettes.py", "Python", 316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 440, 86, 842
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\seaborn\rcmod.py", "Python", 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 204, 95, 534
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\seaborn\regression.py", "Python", 717, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 100, 941
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\seaborn\relational.py", "Python", 776, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 129, 983
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\seaborn\utils.py", "Python", 430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 329, 139, 898
"c:\Users\HENRRY\Desktop\backend_proy de grado\colegioenv\Lib\site-packages\seaborn\widgets.py", "Python", 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 43, 427
